name,URL,longitude,latitude
"Museum of the Jewellery Quarter ",https://www.birmingham.gov.uk/directory_record/88676/museum_of_the_jewellery_quarter,52.49038,-1.91217
"Naseby Youth Centre ",https://www.birmingham.gov.uk/directory_record/150226/naseby_youth_centre,52.49049,-1.84541
"Nechells Wellbeing Centre ",https://www.birmingham.gov.uk/directory_record/150204/nechells_wellbeing_centre,52.49392,-1.87646
"New Aston House ",https://www.birmingham.gov.uk/directory_record/88677/new_aston_house,52.49791,-1.89700
"Norman Power Centre ",https://www.birmingham.gov.uk/directory_record/88680/norman_power_centre,52.47500,-1.92551
"Northbrook Homeless Centre ",https://www.birmingham.gov.uk/directory_record/149661/northbrook_homeless_centre,52.41289,-1.96912
"Northfield Adult Education Centre ",https://www.birmingham.gov.uk/directory_record/150203/northfield_adult_education_centre,52.41514,-1.96766
"Northfield Centre ",https://www.birmingham.gov.uk/directory_record/88681/northfield_centre,52.41498,-1.96743
"Northfield Library ",https://www.birmingham.gov.uk/directory_record/88682/northfield_library,52.41498,-1.96743
"Northfield Neighbourhood Office ",https://www.birmingham.gov.uk/directory_record/88684/northfield_neighbourhood_office,52.41498,-1.96743
"Oakhill House ",https://www.birmingham.gov.uk/directory_record/150216/oakhill_house,52.47282,-1.95984
"Oaklands Youth Centre ",https://www.birmingham.gov.uk/directory_record/150227/oaklands_youth_centre,52.50561,-1.94262
"Old Clifton Primary School ",https://www.birmingham.gov.uk/directory_record/88686/old_clifton_primary_school,52.45630,-1.87759
"Oliver Street/The Pod ",https://www.birmingham.gov.uk/directory_record/88687/oliver_streetthe_pod,52.49323,-1.87664
"Osborne Centre ",https://www.birmingham.gov.uk/directory_record/88688/osborne_centre,52.52686,-1.83910
"Pen Museum ",https://www.birmingham.gov.uk/directory_record/88691/pen_museum,52.48474,-1.91213
"Perry Barr Depot ",https://www.birmingham.gov.uk/directory_record/150211/perry_barr_depot,52.52178,-1.89166
"Perry Common Customer Service Centre ",https://www.birmingham.gov.uk/directory_record/150213/perry_common_customer_service_centre,52.54200,-1.86799
"Perry Common Library ",https://www.birmingham.gov.uk/directory_record/88693/perry_common_library,52.53424,-1.87927
"Perry Tree Centre ",https://www.birmingham.gov.uk/directory_record/88694/perry_tree_centre,52.53999,-1.86923
"Plants Close ",https://www.birmingham.gov.uk/directory_record/150200/plants_close,52.54820,-1.85578
"Quinborne Centre ",https://www.birmingham.gov.uk/directory_record/88696/quinborne_centre,52.46027,-1.98718
"Quinton Library ",https://www.birmingham.gov.uk/directory_record/88697/quinton_library,52.46027,-1.98718
"Radley Court ",https://www.birmingham.gov.uk/directory_record/88698/radley_court,52.46512,-1.77760
"Reameadow Nursery ",https://www.birmingham.gov.uk/directory_record/88699/reameadow_nursery,52.43303,-1.91380
"Redfern Road Depot ",https://www.birmingham.gov.uk/directory_record/150246/redfern_road_depot,52.45595,-1.83761
"Register Office ",https://www.birmingham.gov.uk/directory_record/88701/register_office,52.47518,-1.90910
"Saltley Centre ",https://www.birmingham.gov.uk/directory_record/88706/saltley_centre,52.48519,-1.84679
"Saltley Community Centre ",https://www.birmingham.gov.uk/directory_record/88708/saltley_community_centre,52.48265,-1.83351
"Saltley Customer Service Centre ",https://www.birmingham.gov.uk/directory_record/88709/saltley_customer_service_centre,52.49132,-1.85067
"Sarehole Mill ",https://www.birmingham.gov.uk/directory_record/88710/sarehole_mill,52.43441,-1.85605
"Selly Oak Adult Education ",https://www.birmingham.gov.uk/directory_record/150206/selly_oak_adult_education,52.44359,-1.93414
"Selly Oak Centre ",https://www.birmingham.gov.uk/directory_record/88712/selly_oak_centre,52.44348,-1.93414
"Shaftesbury House ",https://www.birmingham.gov.uk/directory_record/88713/shaftesbury_house,52.44475,-1.87865
"Shard End Library ",https://www.birmingham.gov.uk/directory_record/88714/shard_end_library,52.49511,-1.77705
"Shard End Youth Centre ",https://www.birmingham.gov.uk/directory_record/150214/shard_end_youth_centre,52.50052,-1.76718
"Sheldon Country Park ",https://www.birmingham.gov.uk/directory_record/88715/sheldon_country_park,52.45940,-1.77847
"Sheldon Library ",https://www.birmingham.gov.uk/directory_record/88716/sheldon_library,52.46187,-1.78304
"Short Heath Court ",https://www.birmingham.gov.uk/directory_record/88717/short_heath_court,52.52873,-1.84320
"Small Heath Leisure Centre ",https://www.birmingham.gov.uk/directory_record/88719/small_heath_leisure_centre,52.47126,-1.85713
"Small Heath Library ",https://www.birmingham.gov.uk/directory_record/88720/small_heath_library,52.47126,-1.85713
"Soho House ",https://www.birmingham.gov.uk/directory_record/88722/soho_house,52.49988,-1.92422
"South Yardley Library ",https://www.birmingham.gov.uk/directory_record/88725/south_yardley_library,52.46007,-1.81662
"Sparkbrook Health &amp; Community Centre ",https://www.birmingham.gov.uk/directory_record/88726/sparkbrook_health_and_community_centre,52.46258,-1.87131
"Sparkbrook Neighbourhood Library ",https://www.birmingham.gov.uk/directory_record/88727/sparkbrook_neighbourhood_library,52.46258,-1.87131
"Sparkhill Centre ",https://www.birmingham.gov.uk/directory_record/88729/sparkhill_centre,52.45433,-1.86706
"Sparkhill Library ",https://www.birmingham.gov.uk/directory_record/88730/sparkhill_library,52.44949,-1.86455
"Springhill Library ",https://www.birmingham.gov.uk/directory_record/88732/springhill_library,52.48507,-1.91946
"St Martins Rag Market ",https://www.birmingham.gov.uk/directory_record/88733/st_martins_rag_market,52.47609,-1.89376
"Stirchley Community Hub ",https://www.birmingham.gov.uk/directory_record/150245/stirchley_community_hub,52.42911,-1.92329
"Stirchley Library ",https://www.birmingham.gov.uk/directory_record/88770/stirchley_library,52.42888,-1.92350
"Stone Hall Centre ",https://www.birmingham.gov.uk/directory_record/88771/stone_hall_centre,52.44745,-1.82603
"Summer Hill House ",https://www.birmingham.gov.uk/directory_record/88773/summer_hill_house,52.48306,-1.91516
"Summerfield Community Centre ",https://www.birmingham.gov.uk/directory_record/88775/summerfield_community_centre,52.48656,-1.93972
"Sutton Coldfield Library ",https://www.birmingham.gov.uk/directory_record/88777/sutton_coldfield_library,52.56259,-1.82320
"Sutton Coldfield Town Hall ",https://www.birmingham.gov.uk/directory_record/88778/sutton_coldfield_town_hall,52.56637,-1.82511
"Sutton New Road ",https://www.birmingham.gov.uk/directory_record/88779/sutton_new_road,52.52404,-1.84068
"Sutton Park Visitor Centre ",https://www.birmingham.gov.uk/directory_record/88780/sutton_park_visitor_centre,52.56547,-1.83515
"The Drum ",https://www.birmingham.gov.uk/directory_record/88782/the_drum,52.55112,-1.87322
"The Factory-MyPlace Longbridge ",https://www.birmingham.gov.uk/directory_record/150230/the_factory-myplace_longbridge,52.39761,-1.98540
"The Laurels ",https://www.birmingham.gov.uk/directory_record/88783/the_laurels,52.58830,-1.81864
"The Lighthouse ",https://www.birmingham.gov.uk/directory_record/88785/the_lighthouse,52.50106,-1.89781
"The Poplars ",https://www.birmingham.gov.uk/directory_record/88786/the_poplars,52.57204,-1.80079
"The Pump ",https://www.birmingham.gov.uk/directory_record/88787/the_pump,52.48303,-1.78003
"The Sanctuary ",https://www.birmingham.gov.uk/directory_record/150223/the_sanctuary,52.47246,-1.90030
"The Vibe ",https://www.birmingham.gov.uk/directory_record/150224/the_vibe,52.46554,-1.82094
"Thinktank / Millenium Point ",https://www.birmingham.gov.uk/directory_record/88788/thinktank_millenium_point,52.48279,-1.88595
"Tower Hill Library ",https://www.birmingham.gov.uk/directory_record/88790/tower_hill_library,52.53366,-1.92005
"Trentham House ",https://www.birmingham.gov.uk/directory_record/88792/trentham_house,52.44623,-1.82959
"Trittiford Centre ",https://www.birmingham.gov.uk/directory_record/88793/trittiford_centre,52.42300,-1.86331
"Viscount House ",https://www.birmingham.gov.uk/directory_record/150202/viscount_house,52.51590,-1.78666
"Walmley Library ",https://www.birmingham.gov.uk/directory_record/88794/walmley_library,52.54107,-1.80071
"Ward End Library ",https://www.birmingham.gov.uk/directory_record/88795/ward_end_library,52.49479,-1.83534
"Warwick House Childrens Home ",https://www.birmingham.gov.uk/directory_record/150168/warwick_house_childrens_home,52.45057,-1.82998
"Weoley Castle Library ",https://www.birmingham.gov.uk/directory_record/88798/weoley_castle_library,52.43903,-1.96804
"Wheatley Close ",https://www.birmingham.gov.uk/directory_record/150201/wheatley_close,52.58909,-1.82258
"Womens Enterprise Hub ",https://www.birmingham.gov.uk/directory_record/88799/womens_enterprise_hub,52.45525,-1.87693
"Woodcock Street ",https://www.birmingham.gov.uk/directory_record/88800/woodcock_street,52.48656,-1.88796
"Woodgate Valley Country Park ",https://www.birmingham.gov.uk/directory_record/88801/woodgate_valley_country_park,52.44480,-2.00887
"Wychall Primary School ",https://www.birmingham.gov.uk/directory_record/88803/wychall_primary_school,52.40721,-1.95018
"Yardley House ",https://www.birmingham.gov.uk/directory_record/88804/yardley_house,52.47348,-1.80941
"Yardley Wood Library ",https://www.birmingham.gov.uk/directory_record/88805/yardley_wood_library,52.41864,-1.85916
